trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
986,True,"{'a': 0, 'e': 0}",20,0,-15.090207703128842,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
987,True,"{'a': 0, 'e': 0}",25,0,18.974330335160094,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
988,True,"{'a': 0, 'e': 0}",20,0,-46.45388720159395,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
989,True,"{'a': 0, 'e': 0}",20,0,5.560638913945289,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
990,True,"{'a': 0, 'e': 0}",20,2,-21.5837087627914,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 0}",1
991,True,"{'a': 0, 'e': 0}",20,0,22.93646050299587,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
992,True,"{'a': 0, 'e': 0}",25,5,-5.891855793598222,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",1
993,True,"{'a': 0, 'e': 0}",35,0,12.473030452201177,"{0: 32, 1: 1, 2: 2, 3: 0, 4: 0}",0
994,True,"{'a': 0, 'e': 0}",20,0,-34.696869559832436,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
995,True,"{'a': 0, 'e': 0}",20,0,-25.78277343939433,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
996,True,"{'a': 0, 'e': 0}",30,0,-9.155728340171173,"{0: 27, 1: 2, 2: 0, 3: 0, 4: 1}",0
997,True,"{'a': 0, 'e': 0}",20,8,-24.82585795253286,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
998,True,"{'a': 0, 'e': 0}",35,0,13.941091680663295,"{0: 33, 1: 1, 2: 1, 3: 0, 4: 0}",0
999,True,"{'a': 0, 'e': 0}",25,0,-50.693953902538524,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
1000,True,"{'a': 0, 'e': 0}",20,0,-19.515038649594675,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
1001,True,"{'a': 0, 'e': 0}",20,0,-27.15212392546796,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
1002,True,"{'a': 0, 'e': 0}",20,11,-44.72686155928746,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 1}",1
1003,True,"{'a': 0, 'e': 0}",25,0,-54.21792895384248,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",0
1004,True,"{'a': 0, 'e': 0}",25,0,-40.51109835393158,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
1005,True,"{'a': 0, 'e': 0}",25,0,-153.88089756390158,"{0: 19, 1: 1, 2: 0, 3: 1, 4: 4}",0
1006,True,"{'a': 0, 'e': 0}",25,0,15.032709303907836,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
1007,True,"{'a': 0, 'e': 0}",30,0,-9.650336300601559,"{0: 26, 1: 2, 2: 1, 3: 1, 4: 0}",0
1008,True,"{'a': 0, 'e': 0}",20,0,-15.70293882726877,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
1009,True,"{'a': 0, 'e': 0}",30,0,12.988798629281195,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",0
1010,True,"{'a': 0, 'e': 0}",20,0,23.84897018152338,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1011,True,"{'a': 0, 'e': 0}",20,0,14.268262758954469,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
1012,True,"{'a': 0, 'e': 0}",35,0,-43.755180065035695,"{0: 31, 1: 1, 2: 1, 3: 1, 4: 1}",0
1013,True,"{'a': 0, 'e': 0}",20,0,12.004203744016293,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
1014,True,"{'a': 0, 'e': 0}",30,0,22.400627488146977,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
1015,True,"{'a': 0, 'e': 0}",35,0,-92.51432334122345,"{0: 28, 1: 2, 2: 2, 3: 1, 4: 2}",0
1016,True,"{'a': 0, 'e': 0}",20,0,-7.830032666814581,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
1017,True,"{'a': 0, 'e': 0}",20,0,15.24445601732923,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
1018,True,"{'a': 0, 'e': 0}",20,0,-12.322849216862945,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
1019,True,"{'a': 0, 'e': 0}",25,0,-30.338029737958724,"{0: 21, 1: 1, 2: 1, 3: 2, 4: 0}",0
